"","Line","individual","blk","treat","UNr","UNHmax","UNInflect_DD","UNInflect_size","UNduration","UNSTP"
"1",1,2008,13,"UN",0.0153804244618364,45.3327872138194,637.436447273381,22.6663936039353,891.095011425604,44.6262227329013
"2",2,2109,13,"UN",0.0168892062728125,52.5292670087429,606.413724572734,26.2646335246847,847.845882779973,51.4056202370369
"3",7,2132,13,"UN",0.0149816845728665,50.4914745344496,617.094871101338,25.2457372795935,886.263215944953,50.0666985763817
"4",9,2024,13,"UN",0.0140368800427828,37.525310263785,626.973577630235,18.7626551054858,887.499094538575,35.5385585182423
"5",12,2112,13,"UN",0.0156151709148016,29.2504533362373,596.882784430671,14.6252266383567,873.03729149886,28.8262146565921
"6",15,2057,13,"UN",0.0143429795788215,57.0863463216655,601.519138979909,28.5431731949764,869.130723935512,55.4223678199162
"7",16,2048,13,"UN",0.0140026237330894,47.1485504943907,607.668434186283,23.5742752473479,891.095011425604,45.0442552867756
"8",21,2043,13,"UN",0.0161543059333659,58.6091178349789,636.551266967975,29.3045589481865,874.257576771615,57.0953442358404
"9",23,2092,13,"UN",0.0168120520155916,48.6272919965988,583.064036630192,24.3136460024724,851.585330423994,46.5754456995827
"10",25,2123,13,"UN",0.0150627053165496,58.1569004305332,620.613934178659,29.07845024705,896.612817437642,57.1414841417012
"11",30,2042,13,"UN",0.0147387391824776,41.5338246218519,536.043273550576,20.7669122980228,802.117227822573,40.0081990987318
"12",31,2016,13,"UN",0.0159934350964555,48.5552610777683,644.296697516386,24.2776305459576,896.435294255949,47.421343973697
"13",36,2017,13,"UN",0.0145975970547579,35.2219657488009,553.093407180268,17.6109828591663,826.172359697436,34.1571827733288
"14",39,2071,13,"UN",0.0151620740143142,36.7990301589433,654.133944925353,18.3995150408968,922.287669788416,35.92473632325
"15",42,2063,13,"UN",0.0141768902724669,38.2247116252604,588.774993079585,19.1123557883541,857.428379147139,37.9319033349967
"16",46,2236,14,"UN",0.0158687945789496,41.9512621150944,586.926080863852,20.9756310393858,841.993570963862,41.4334433720491
"17",53,2010,13,"UN",0.016412698480427,38.9625188810154,573.673164456183,19.4812594258391,827.294546040651,37.7429202960029
"18",60,2054,13,"UN",0.0160219599245227,45.5765310184465,646.179750976855,22.7882655058274,896.435294255949,44.1761705948222
"19",63,2029,13,"UN",0.0155477484015087,52.9347823786556,601.235779876821,26.4673912060553,857.428379147139,50.3742979487869
"20",65,2127,13,"UN",0.0159285273048895,50.7580904950913,627.492601559123,25.3790452559973,862.776899006997,49.2208003022674
"21",66,2246,14,"UN",0.0142470346547025,53.3719882055103,627.749398382938,26.6859941333401,898.522546428695,53.0079327430068
"22",69,2122,13,"UN",0.0153503141609706,64.433421183165,656.538668686611,32.2167106815642,906.309659654112,62.6025492006936
"23",70,2066,13,"UN",0.015322915236756,46.4757549633749,655.791544832714,23.2378774799764,896.435294255949,45.3142882727214
"24",73,2011,13,"UN",0.0155253084234621,38.632582109103,589.199371800147,19.3162910321652,845.947701382522,37.4089844019079
"25",76,2082,13,"UN",0.0139806611437057,42.2807660035878,580.375316631631,21.140382988027,828.39661533379,41.063858360755
"26",80,2030,13,"UN",0.0158712757027355,53.0801438812998,595.146700587701,26.5400719677035,865.67812684667,51.8733317306603
"27",89,2263,14,"UN",0.0153046197369407,46.439870006701,627.554370683989,23.219935002126,868.957667425684,46.1165996641054
"28",93,2039,13,"UN",0.0153183268231074,45.5151076155763,628.022283654144,22.7575538026549,890.295954510232,44.4989954338961
"29",103,2088,13,"UN",0.0174106138958492,57.4081201063802,580.030600879385,28.7040600837001,814.046785632329,56.5878052713718
"30",115,2070,13,"UN",0.0161347408125515,34.0673144594014,597.657855774908,17.0336571940549,852.604820696001,33.3486726861593
"31",124,2075,13,"UN",0.0143507724435955,45.6929024398706,663.11596239662,22.8464512199588,925.730900228843,44.3081544853882
"32",131,2101,13,"UN",0.0148874958629334,39.6566535231152,561.934034844372,19.8283267383828,829.963985744151,39.0282215766713
"33",136,2007,13,"UN",0.0127662607733738,50.047543770685,643.725416451066,25.0237718967087,921.965086472833,48.9337755706497
"34",143,2036,13,"UN",0.0156674616751016,45.578512908819,677.068250817113,22.7892564533421,918.112142763365,44.4068701241261
"35",146,2126,13,"UN",0.0132534470864366,47.1858661349865,642.044806817869,23.5929330700473,930.093689504901,46.1140466409749
"36",147,2067,13,"UN",0.0147755810140288,46.9014514939226,671.463152518702,23.4507257471888,941.209176724322,45.82182723719
"37",150,2050,13,"UN",0.0142202168407976,39.415827316291,606.788135313403,19.7079136386756,845.947701382522,37.4397443391484
"38",154,2125,13,"UN",0.0158379315572533,56.8047980684956,635.697389512912,28.4023990623334,907.915972020567,55.8341868089791
"39",155,2128,13,"UN",0.0162690844921614,64.3424281592051,626.009903506128,32.1712141298509,886.263215944953,63.2165717467038
"40",164,2052,13,"UN",0.0138772185372867,37.275160258743,580.15218456884,18.6375801003228,851.129216318871,36.1019936995511
"41",171,2249,14,"UN",0.0149747443529886,45.0066661144707,586.6753574743,22.5033330541219,849.684601203544,43.3175990859904
"42",174,2099,13,"UN",0.0135874510993955,44.0665208254268,632.352661702356,22.0332604044135,923.95519148651,42.7612134817583
"43",175,2255,14,"UN",0.0155691505146079,34.2821796431673,586.084544073934,17.1410897752807,838.786119883814,33.7034834809923
"44",176,2006,13,"UN",0.0155738495471839,59.4697178103845,630.989658725446,29.7348589390172,907.915972020567,58.8025207526892
"45",182,2264,14,"UN",0.013821283234244,67.5887817265963,665.056268965104,33.7943909467138,923.323033678325,65.1119986705162
"46",183,2031,13,"UN",0.0143213754090079,50.5136522874747,651.927799286484,25.2568261575282,947.210457557576,49.5880873941051
"47",184,2105,13,"UN",0.0148078578857937,36.7988140957296,617.494405383883,18.399407023561,869.434018320477,35.9786473202237
"48",187,2120,13,"UN",0.0148840658841476,52.8205275758062,613.278281483055,26.4102638019951,879.606096631473,51.5277955953063
"49",190,2083,13,"UN",0.0155271196941083,55.7412730549701,677.463230477674,27.8706365526621,952.560516170849,54.8652487859027
"50",193,2074,13,"UN",0.016597714796402,42.1960362027595,593.757948775958,21.0980180895132,857.428379147139,40.2235186594154
"51",198,2078,13,"UN",0.0157521524015523,52.2139695856965,660.528860110431,26.1069848076045,935.731318546373,51.1894362856606
"52",199,2103,13,"UN",0.0150194502581248,39.5675036329168,598.580273455762,19.7837517939114,850.656714628743,39.1554488756766
"53",201,2114,13,"UN",0.0142294323473559,54.8715810897041,617.709768680579,27.4357905684251,862.776899006997,51.5739355011671
"54",204,2049,13,"UN",0.0149342663375747,45.1605712828308,597.621811445203,22.5802856337845,845.947701382522,43.8531912537967
"55",205,2062,13,"UN",0.0147749618707223,54.408277873512,613.463947123912,27.2041389575133,879.606096631473,53.3272519238767
"56",206,2110,13,"UN",0.0147037817070885,44.4755108318463,623.077767850931,22.2377554102905,896.435294255949,43.1918526031256
"57",207,2206,14,"UN",0.014617568409691,35.0319165549891,560.018687428661,17.5159582330403,845.133067571876,34.5697720894728
"58",208,2019,13,"UN",0.0140258409017853,45.7504592165165,599.093779971414,22.8752296038866,851.749822065952,43.1267581374826
"59",211,2077,13,"UN",0.014152909356966,44.2392987068254,612.819406487721,22.1196493454385,900.779436277296,43.4769959869262
"60",212,2041,13,"UN",0.0155989987081722,45.3106835142626,629.020045754189,22.655341753402,854.75004299252,44.0545217259132
"61",213,2104,13,"UN",0.0178364110728675,52.582581259555,600.621624604434,26.2912906455418,852.604820696001,51.8969148421926
"62",215,2037,13,"UN",0.0146867630168948,36.2854750032605,625.673535446165,18.1427374657139,909.569020732373,35.4295065476664
"63",222,2093,13,"UN",0.0161062405065982,56.451189315768,631.749695817122,28.2255946850026,886.263215944953,55.6034872796752
"64",223,2115,13,"UN",0.0145787604376313,37.8445835613162,618.463923109998,18.9222917576656,885.243725672946,36.7784056884772
"65",225,2129,13,"UN",0.0148812656104727,54.3817389360103,606.576787620197,27.1908694933967,887.184767784563,53.6230103054137
"66",228,2100,13,"UN",0.0169003250720198,46.7256340286161,573.190885849345,23.3628170161848,842.223067724797,46.2313495113257
"67",229,2003,13,"UN",0.0135969138634637,61.0756806093564,666.149494486228,30.5378403535638,968.651598513716,60.2388298536855
"68",232,2058,13,"UN",0.0173891738211188,58.2727516566776,612.940717839934,29.136375864489,849.857657713372,57.6761085451516
"69",234,2026,13,"UN",0.0157469942630507,42.8988062551341,594.311068843862,21.4494031176225,852.604820696001,42.5766538583152
"70",235,2061,13,"UN",0.0136773142423671,34.9792455644981,584.47331617636,17.4896227448545,851.749822065952,34.3753374987659
"71",240,2040,13,"UN",0.0154292453663592,38.4583778842826,636.761609478396,19.229188920053,896.435294255949,37.3782244646674
"72",242,2023,13,"UN",0.0151923973598048,42.6615051258514,564.574507514879,21.3307525503908,832.476755843812,40.8639297480325
"73",243,2086,13,"UN",0.0137340596825475,51.1882462538099,609.188898490054,25.5941231380817,907.915972020567,50.974116724977
"74",248,2146,14,"UN",0.0157109823565017,56.147334242215,657.973447280507,28.0736671531288,892.290972734405,55.0225105944712
"75",250,2047,13,"UN",0.0152026536615189,52.8526070389201,580.860329116808,26.4263035367372,826.105681760174,51.8969148421926
"76",251,2038,13,"UN",0.0147023621606893,42.7525953660457,690.370699501353,21.3762976698665,945.212654501289,41.6091182136345
"77",253,2021,13,"UN",0.0149250025189611,41.5411025512159,625.750008000554,20.7705512546996,903.891892543596,40.8337051046395
"78",255,2107,13,"UN",0.0141061213751349,56.0993199543833,642.234905195404,28.0496600025736,918.341654876839,54.880628754523
"79",256,2079,13,"UN",0.0162984704791687,39.6298241779136,574.531132043733,19.8149120716209,845.947701382522,38.5932419856679
"80",259,2013,13,"UN",0.0159573268447422,40.5762096400934,578.863962718849,20.2881048068478,829.118503758046,39.608319914605
"81",264,2028,13,"UN",0.0157919076031006,27.1481199570344,575.913806698739,13.574059914865,828.572816557833,26.1964397055728
"82",265,2171,14,"UN",0.0150011131644059,38.7161053683995,604.708774515997,19.3580526428124,864.484564189046,38.4732310258562
"83",267,2237,14,"UN",0.0135187149234381,39.5076126967014,651.304296932803,19.7538063246936,910.659343337468,37.5923706307552
"84",268,2118,13,"UN",0.0142925497040587,50.2242558109048,578.506929553563,25.1121279147671,851.585330423994,49.1592804277863
"85",270,2081,13,"UN",0.016465546212265,39.5387650086248,569.521463968665,19.7693824859531,840.599181522663,38.5009621739463
"86",277,2020,13,"UN",0.0152147779742053,35.8078719807875,556.045349787429,17.9039359538481,809.920356082773,34.720668738923
"87",281,2224,14,"UN",0.0166220280407471,53.7620866804324,672.35966320369,26.8810433608537,911.564038956546,52.9323478250996
"88",282,2113,13,"UN",0.0151587767835991,49.7271391939981,658.133930375673,24.8635696073284,911.116489719293,48.897424913791
"89",284,2133,13,"UN",0.0173028980263994,48.0710877936787,642.161872871781,24.0355439018143,845.947701382522,47.4521039109375
"90",285,2098,13,"UN",0.0144095049610797,44.6430927646571,628.420119292885,22.3215463771543,868.41452804847,43.7762914106954
"91",288,2018,13,"UN",0.0161735772696396,40.9002922116511,572.357782282452,20.4501460904154,802.117227822573,39.8543994125292
"92",289,2073,13,"UN",0.0150037031726645,60.6907955150399,676.888055450847,30.3453978024112,927.898974962844,59.1483101479264
"93",290,2064,13,"UN",0.0170151789012618,62.0313052803884,685.100337285715,31.0156526903396,908.664325113295,60.0207259125337
"94",300,2102,13,"UN",0.0136767685684921,50.0818573087357,621.705906223177,25.0409286667614,906.180048489768,48.9883015559376
"95",301,2124,13,"UN",0.0155296322118639,59.4433355212755,681.578833169016,29.7216678042411,928.94561912276,58.1850177411726
"96",303,2085,13,"UN",0.0153909541378158,42.4929666572633,622.741461646904,21.2464833137188,885.487319605176,43.408475728137
"97",308,2130,13,"UN",0.0163824763566652,35.3062668204349,531.398009415199,17.6531333729649,804.988287586029,34.7570193957816
"98",311,2152,14,"UN",0.0150128825170972,26.7828931030225,595.764786374675,13.3914464853944,853.744840290125,25.5057772252587
"99",318,2009,13,"UN",0.0134732859139973,49.0416019789999,683.027521654756,24.5208009955804,968.599735636792,48.1442024988492
"100",325,2005,13,"UN",0.0164160679009833,39.7624594731917,616.429530397287,19.8812297137634,846.746470987702,38.610189022797
"101",328,2089,13,"UN",0.0158169410240884,44.4278415993887,612.356076628738,22.2139207902234,875.2245261391,43.5658461006165
"102",332,2065,13,"UN",0.016230273679114,40.2647668592501,566.303597820404,20.1323834140256,818.946425447049,39.8236394752887
"103",337,2239,14,"UN",0.0162449882456605,48.6319061030918,624.734691681711,24.3159530609754,884.606745612985,47.8084390293287
"104",339,2060,13,"UN",0.0183746712351007,41.9797548083534,577.098754193074,20.9898773986126,811.530278820607,41.3552171585418
"105",340,2119,13,"UN",0.014615344824819,45.2245164995343,626.090785930441,22.6122582436936,907.571217676086,43.8992095957286
"106",341,2111,13,"UN",0.0147839187599356,40.9071369291837,623.371486426207,20.4535684422936,880.035902036718,40.622686084625
"107",344,2121,13,"UN",0.0155766102884352,47.3904391886318,630.25112349058,23.6952195958807,874.257576771615,46.713865417165
"108",346,2069,13,"UN",0.0142218181201618,47.2831229990412,643.042360613399,23.6415615028574,891.843423497152,46.6618595169849
"109",347,2055,13,"UN",0.0155998094361037,56.1499086972544,598.260396856747,28.0749543638828,873.537394810223,55.1324862864094
"110",353,2001,13,"UN",0.0179801146854409,50.5762760511594,614.750717126709,25.288138041591,859.970021208784,50.0074793431638
"111",354,2131,13,"UN",0.0157325185922538,50.9965810687488,597.168413356003,25.4982905497279,849.857657713372,49.8425419921156
"112",355,2015,13,"UN",0.0152891300145751,38.6984505467812,605.765663381298,19.3492252527332,869.434018320477,37.7627236801739
"113",357,2087,13,"UN",0.0158123230977091,55.3744828109023,625.243462490187,27.6872414296252,907.915972020567,54.1885301666113
"114",359,2072,13,"UN",0.0133009790800269,46.6711267181671,640.227705685377,23.33556336044,946.589851810495,45.9075833871682
"115",360,2208,14,"UN",0.0158775649644124,38.6236102351126,581.990836953735,19.3118050850887,841.993570963862,37.6906323328449
"116",363,2046,13,"UN",0.0162175401307289,56.4326061383318,615.124869342451,28.2163030977824,874.257576771615,54.9344586446939
"117",373,2004,13,"UN",0.0160534963246138,43.1677856156737,609.15642617913,21.5838927986279,840.599181522663,42.4382341407328
"118",376,2034,13,"UN",0.0142460115837972,57.70701694854,649.145013629113,28.8535085095058,943.792991838837,57.3307773049946
"119",380,2012,13,"UN",0.0158889263392557,44.6543486885204,591.378723943466,22.3271743390904,831.856150096731,43.5357030271422
"120",500,2032,13,"UN",NA,NA,NA,NA,NA,NA
"121",511,2068,13,"UN",0.0152191053108393,32.7940642211459,608.115253118708,16.3970320661072,871.821945203464,32.0125448029546
